symbol:TFSC, forms: 10-K
symbol:ACUR, forms: 10-K
symbol:ACUS, forms: 10-K
symbol:ACXM, forms: 10-K
symbol:ADHH, forms: 10-K
symbol:ADMG, forms: 10-K
symbol:ADMS, forms: 10-K
symbol:ADMV, forms: 10-K
symbol:ADAC, forms: 10-K
symbol:ADMP, forms: 10-K
symbol:AE, forms: 10-K
symbol:ADTM, forms: 10-K
symbol:ADRN, forms: 10-K
symbol:ADK, forms: 10-K
symbol:ADUS, forms: 10-K
symbol:AEY, forms: 10-K
symbol:ADPAK, forms: 10-K
symbol:ADEP, forms: 10-K
symbol:ADPT, forms: 10-K
symbol:ADGS, forms: 10-K
symbol:ADNY, forms: 10-K
symbol:ADMA, forms: 10-K
symbol:ADMT, forms: 10-K
symbol:ADBE, forms: 10-K
symbol:ADT, forms: 10-K
symbol:ADTN, forms: 10-K
symbol:AAP, forms: 10-K
symbol:ABAT, forms: 10-K
symbol:ABMT, forms: 10-K
symbol:CANN, forms: 10-K
symbol:ACRT, forms: 10-K
symbol:AEIS, forms: 10-K
symbol:AERT, forms: 10-K
symbol:ADLS, forms: 10-K
symbol:ADMD, forms: 10-K
symbol:AMD, forms: 10-K
symbol:AOXY, forms: 10-K
symbol:API, forms: 10-K
symbol:AVGG, forms: 10-K
symbol:AVOI, forms: 10-K
symbol:ASNB, forms: 10-K
symbol:ADVC, forms: 10-K
symbol:CHCR, forms: 10-K
symbol:ADXS, forms: 10-K
symbol:ADVS, forms: 10-K
symbol:ABCO, forms: 10-K
symbol:ACM, forms: 10-K
symbol:AEGA, forms: 10-K
symbol:AEGR, forms: 10-K
symbol:AEGN, forms: 10-K
symbol:AEHR, forms: 10-K
symbol:XXAAC, forms: 10-K
symbol:AMTX, forms: 10-K
symbol:AOLS, forms: 10-K
symbol:AEPI, forms: 10-K
symbol:AERI, forms: 10-K
symbol:ACY, forms: 10-K
symbol:AERO, forms: 10-K
symbol:HIVE, forms: 10-K
symbol:ARO, forms: 10-K
symbol:AVAV, forms: 10-K
symbol:AES, forms: 10-K
symbol:AEMDD, forms: 10-K
symbol:AET, forms: 10-K
symbol:AFCT, forms: 10-K
symbol:AFM, forms: 10-K
symbol:AFYG, forms: 10-K
symbol:AFFW, forms: 10-K
symbol:AFFM, forms: 10-K
symbol:AFFY, forms: 10-K
symbol:AFFX, forms: 10-K
symbol:AFL, forms: 10-K
symbol:AFAN, forms: 10-K
symbol:IWKS, forms: 10-K
symbol:ACCS, forms: 10-K
symbol:AGCO, forms: 10-K
symbol:WGA, forms: 10-K
symbol:AGMC, forms: 10-K
symbol:AGEN, forms: 10-K
symbol:A, forms: 10-K
symbol:AGRX, forms: 10-K
symbol:AGYS, forms: 10-K
symbol:AGIO, forms: 10-K
symbol:GAS, forms: 10-K
symbol:MITT, forms: 10-K
symbol:ADC, forms: 10-K
symbol:AGSO, forms: 10-K
symbol:AGTK, forms: 10-K
symbol:AGBRE, forms: 10-K
symbol:AHC, forms: 10-K
symbol:GLOV, forms: 10-K
symbol:AIDC, forms: 10-K
symbol:AEXE, forms: 10-K
symbol:AYR, forms: 10-K
symbol:ARG, forms: 10-K
symbol:AIRI, forms: 10-K
symbol:AL, forms: 10-K
symbol:AIRM, forms: 10-K
symbol:APD, forms: 10-K
symbol:AIRO, forms: 10-K
symbol:AIRT, forms: 10-K
symbol:ATCH, forms: 10-K
symbol:AITG, forms: 10-K
symbol:ATSG, forms: 10-K
symbol:ARTR, forms: 10-K
symbol:AIRW, forms: 10-K
symbol:AIVI, forms: 10-K
symbol:AJACD, forms: 10-K
symbol:AJGH, forms: 10-K
symbol:AJSB, forms: 10-K
symbol:AKAM, forms: 10-K
symbol:AKBA, forms: 10-K
symbol:AKER, forms: 10-K
symbol:AKRX, forms: 10-K
symbol:DNLX, forms: 10-K
symbol:AKS, forms: 10-K
symbol:AKSY, forms: 10-K
symbol:AAIIQ, forms: 10-K
symbol:ALAWP, forms: 10-K
symbol:ALME, forms: 10-K
symbol:ALG, forms: 10-K
symbol:ALAN, forms: 10-K
symbol:ALK, forms: 10-K
symbol:ALSK, forms: 10-K
symbol:ASKE, forms: 10-K
symbol:AIN, forms: 10-K
symbol:AMRI, forms: 10-K
symbol:ALB, forms: 10-K
symbol:AA, forms: 10-K
symbol:ALCSQ, forms: 10-K
symbol:ALDR, forms: 10-K
symbol:ALDX, forms: 10-K
symbol:ALR, forms: 10-K
symbol:ALEX, forms: 10-K
symbol:ALX, forms: 10-K
symbol:ARE, forms: 10-K
symbol:ALXN, forms: 10-K
symbol:ALXA, forms: 10-K
symbol:ALCO, forms: 10-K
symbol:ALGN, forms: 10-K
symbol:ALIM, forms: 10-K
symbol:WTER, forms: 10-K
symbol:ALKM, forms: 10-K
symbol:ALKS, forms: 10-K
symbol:AAGC, forms: 10-K
symbol:AAPT, forms: 10-K
symbol:AASP, forms: 10-K
symbol:ADGL, forms: 10-K
symbol:Y, forms: 10-K
symbol:ATI, forms: 10-K
symbol:ALGT, forms: 10-K
symbol:ALLE, forms: 10-K
symbol:AFSE, forms: 10-K
symbol:AGN, forms: 10-K
symbol:ALE, forms: 10-K
symbol:HYII, forms: 10-K
symbol:ALLB, forms: 10-K
symbol:AB, forms: 10-K
symbol:ALLM, forms: 10-K
symbol:ADS, forms: 10-K
symbol:AFOP, forms: 10-K
symbol:AIQ, forms: 10-K
symbol:AHGP, forms: 10-K
symbol:AOI, forms: 10-K
symbol:ARLP, forms: 10-K
symbol:ALSC, forms: 10-K
symbol:LNT, forms: 10-K
symbol:AAST, forms: 10-K
symbol:AFC, forms: 10-K
symbol:AHPI, forms: 10-K
symbol:AMOT, forms: 10-K
symbol:ANVGQ, forms: 10-K
symbol:ADPC, forms: 10-K
symbol:ALOD, forms: 10-K
symbol:ADSV, forms: 10-K
symbol:DPHS, forms: 10-K
symbol:AWH, forms: 10-K
symbol:ALLN, forms: 10-K
symbol:ALQA, forms: 10-K
symbol:ALSN, forms: 10-K
symbol:PTPF, forms: 10-K
symbol:MDRX, forms: 10-K
symbol:ALL, forms: 10-K
symbol:ATPT, forms: 10-K
symbol:ALLY, forms: 10-K
symbol:AFAM, forms: 10-K
symbol:ALNY, forms: 10-K
symbol:ALJ, forms: 10-K
symbol:ALDW, forms: 10-K
symbol:ALPE, forms: 10-K
symbol:ALEV, forms: 10-K
symbol:ANR, forms: 10-K
symbol:ANAV, forms: 10-K
symbol:AOSL, forms: 10-K
symbol:APPO, forms: 10-K
symbol:APT, forms: 10-K
symbol:AHAG, forms: 10-K
symbol:ATEC, forms: 10-K
symbol:AWWI, forms: 10-K
symbol:APNI, forms: 10-K
symbol:ALRT, forms: 10-K
symbol:ALSE, forms: 10-K
symbol:ATAO, forms: 10-K
symbol:ALTI, forms: 10-K
symbol:ALTR, forms: 10-K
symbol:AEHI, forms: 10-K
symbol:ADEC, forms: 10-K
symbol:AEGY, forms: 10-K
symbol:KAYS, forms: 10-K
symbol:ALYI, forms: 10-K
symbol:ALTA, forms: 10-K
symbol:ALTV, forms: 10-K
symbol:ALTX, forms: 10-K
symbol:AAMC, forms: 10-K
symbol:ASPS, forms: 10-K
symbol:RESI, forms: 10-K
symbol:ATOA, forms: 10-K
symbol:AIMC, forms: 10-K
symbol:MO, forms: 10-K
symbol:ATFS, forms: 10-K
symbol:AFPW, forms: 10-K
symbol:ALYE, forms: 10-K
symbol:ACGI, forms: 10-K
symbol:AMAG, forms: 10-K
symbol:AMSU, forms: 10-K
symbol:ANSU, forms: 10-K
symbol:AMBS, forms: 10-K
symbol:AMAR, forms: 10-K
symbol:AMRN, forms: 10-K
symbol:AMRK, forms: 10-K
symbol:AMRU, forms: 10-K
symbol:AMAZD, forms: 10-K
symbol:AMZN, forms: 10-K
symbol:AMZZ, forms: 10-K
symbol:AMBC, forms: 10-K
symbol:AMBA, forms: 10-K
symbol:ABCP, forms: 10-K
symbol:ABDR, forms: 10-K
symbol:EPAX, forms: 10-K
symbol:AMIEQ, forms: 10-K
symbol:AMBR, forms: 10-K
symbol:ABHI, forms: 10-K
symbol:AMBTQ, forms: 10-K
symbol:AWGI, forms: 10-K
symbol:AMC, forms: 10-K
symbol:AMCX, forms: 10-K
symbol:DIT, forms: 10-K
symbol:AMDA, forms: 10-K
symbol:AMED, forms: 10-K
symbol:UHAL, forms: 10-K
symbol:AEE, forms: 10-K
symbol:AILIM, forms: 10-K
symbol:AMRC, forms: 10-K
symbol:ASBI, forms: 10-K
symbol:ATAX, forms: 10-K
symbol:AGRN, forms: 10-K
symbol:AAL, forms: 10-K
symbol:APP, forms: 10-K
symbol:AAT, forms: 10-K
symbol:AXL, forms: 10-K
symbol:ABLT, forms: 10-K
symbol:MABA, forms: 10-K
symbol:ABMC, forms: 10-K
symbol:AMIB, forms: 10-K
symbol:ABRW, forms: 10-K
symbol:ABSR, forms: 10-K
symbol:ACC, forms: 10-K
symbol:AMMJ, forms: 10-K
symbol:AGNC, forms: 10-K
symbol:ACAS, forms: 10-K
symbol:MTGE, forms: 10-K
symbol:ACSF, forms: 10-K
symbol:ANCI, forms: 10-K
symbol:ACMC, forms: 10-K
symbol:AACS, forms: 10-K
symbol:ACNI, forms: 10-K
symbol:ANCS, forms: 10-K
symbol:AUAG, forms: 10-K
symbol:CRYO, forms: 10-K
symbol:ASCS, forms: 10-K
symbol:ADFS, forms: 10-K
symbol:ADGE, forms: 10-K
symbol:AMZG, forms: 10-K
symbol:AEO, forms: 10-K
symbol:AEP, forms: 10-K
symbol:AETI, forms: 10-K
symbol:AEDC, forms: 10-K
symbol:AEGG, forms: 10-K
symbol:AEL, forms: 10-K
symbol:AXP, forms: 10-K
symbol:AFBG, forms: 10-K
symbol:AFG, forms: 10-K
symbol:AFRS, forms: 10-K
symbol:AGIN, forms: 10-K
symbol:AHII, forms: 10-K
symbol:AHLL, forms: 10-K
symbol:AMH, forms: 10-K
symbol:AHMS, forms: 10-K
symbol:ONTG, forms: 10-K
symbol:AMIC, forms: 10-K
symbol:AIG, forms: 10-K
symbol:AMIH, forms: 10-K
symbol:AMIN, forms: 10-K
symbol:AIVN, forms: 10-K
symbol:AMLM, forms: 10-K
symbol:ALGI, forms: 10-K
symbol:ALN, forms: 10-K
symbol:AMGC, forms: 10-K
symbol:AMMS, forms: 10-K
symbol:AMRR, forms: 10-K
symbol:AMGY, forms: 10-K
symbol:AMID, forms: 10-K
symbol:ANNO, forms: 10-K
symbol:AMNB, forms: 10-K
symbol:ANAT, forms: 10-K
symbol:ANECE, forms: 10-K
symbol:ACAN, forms: 10-K
symbol:AOIX, forms: 10-K
symbol:AOBI, forms: 10-K
symbol:APGA, forms: 10-K
symbol:APAT, forms: 10-K
symbol:AAPH, forms: 10-K
symbol:AMPW, forms: 10-K
symbol:APGI, forms: 10-K
symbol:APEI, forms: 10-K
symbol:ARII, forms: 10-K
symbol:AREM, forms: 10-K
symbol:ARCP, forms: 10-K
symbol:ANFD, forms: 10-K
symbol:ARL, forms: 10-K
symbol:ARPI, forms: 10-K
symbol:ARGB, forms: 10-K
symbol:AMRD, forms: 10-K
symbol:AMRB, forms: 10-K
symbol:AMSE, forms: 10-K
symbol:ASEI, forms: 10-K
symbol:ASFX, forms: 10-K
symbol:ARSC, forms: 10-K
symbol:AMS, forms: 10-K
symbol:AMNP, forms: 10-K
symbol:ASWV, forms: 10-K
symbol:AMSWA, forms: 10-K
symbol:SOYL, forms: 10-K
symbol:AQQSQ, forms: 10-K
symbol:ASEN, forms: 10-K
symbol:AWR, forms: 10-K
symbol:AMSC, forms: 10-K
symbol:XXAAO, forms: 10-K
symbol:ATEL, forms: 10-K
symbol:AMT, forms: 10-K
symbol:ATHI, forms: 10-K
symbol:ACUC, forms: 10-K
symbol:AVD, forms: 10-K
symbol:AWK, forms: 10-K
symbol:AMWD, forms: 10-K
symbol:CRMT, forms: 10-K
symbol:AASL, forms: 10-K
symbol:AWNE, forms: 10-K
symbol:AWSRQ, forms: 10-K
symbol:APU, forms: 10-K
symbol:AMP, forms: 10-K
symbol:AMSF, forms: 10-K
symbol:ABCB, forms: 10-K
symbol:ASRV, forms: 10-K
symbol:ABC, forms: 10-K
symbol:AMTC, forms: 10-K
symbol:AMTY, forms: 10-K
symbol:ATLO, forms: 10-K
symbol:AME, forms: 10-K
symbol:AXRX, forms: 10-K
symbol:AMFE, forms: 10-K
symbol:AMGN, forms: 10-K
symbol:FOLD, forms: 10-K
symbol:AMNC, forms: 10-K
symbol:AMKR, forms: 10-K
symbol:AHS, forms: 10-K
symbol:AMOG, forms: 10-K
symbol:AMPLQ, forms: 10-K
symbol:AP, forms: 10-K
symbol:AMPO, forms: 10-K
symbol:AMPH, forms: 10-K
symbol:APH, forms: 10-K
symbol:AMPE, forms: 10-K
symbol:APHB, forms: 10-K
symbol:AMPG, forms: 10-K
symbol:AMRE, forms: 10-K
symbol:AXR, forms: 10-K
symbol:AMSG, forms: 10-K
symbol:ASYS, forms: 10-K
symbol:AFSI, forms: 10-K
symbol:AMRS, forms: 10-K
symbol:ANMP, forms: 10-K
symbol:ANAC, forms: 10-K
symbol:APC, forms: 10-K
symbol:ANAD, forms: 10-K
symbol:ADI, forms: 10-K
symbol:ALOG, forms: 10-K
symbol:ABEC, forms: 10-K
symbol:AVXL, forms: 10-K
symbol:AHCP, forms: 10-K
symbol:ANCB, forms: 10-K
symbol:ABCW, forms: 10-K
symbol:ANDN, forms: 10-K
symbol:WEST, forms: 10-K
symbol:AMCF, forms: 10-K
symbol:ANDE, forms: 10-K
symbol:ANDR, forms: 10-K
symbol:ANGI, forms: 10-K
symbol:ANGO, forms: 10-K
symbol:AGGX, forms: 10-K
symbol:ANPMF, forms: 10-K
symbol:ANGP, forms: 10-K
symbol:ANIK, forms: 10-K
symbol:ANIP, forms: 10-K
symbol:AXE, forms: 10-K
symbol:NLY, forms: 10-K
symbol:ANNC, forms: 10-K
symbol:BNNY, forms: 10-K
symbol:ANN, forms: 10-K
symbol:ANOS, forms: 10-K
symbol:APGR, forms: 10-K
symbol:ANPL, forms: 10-K
symbol:ANSS, forms: 10-K
symbol:ATRS, forms: 10-K
symbol:AM, forms: 10-K
symbol:AR, forms: 10-K
symbol:ANTM, forms: 10-K
symbol:ANTH, forms: 10-K
symbol:ACPOQ, forms: 10-K
symbol:ATCI, forms: 10-K
symbol:ANTB, forms: 10-K
symbol:ANH, forms: 10-K
symbol:AYNT, forms: 10-K
symbol:AOL, forms: 10-K
symbol:AON, forms: 10-K
symbol:AXN, forms: 10-K
symbol:ABAC, forms: 10-K
symbol:APA, forms: 10-K
symbol:AIV, forms: 10-K
symbol:APRE, forms: 10-K
symbol:ATNY, forms: 10-K
symbol:APOG, forms: 10-K
symbol:ARI, forms: 10-K
symbol:APOL, forms: 10-K
symbol:APO, forms: 10-K
symbol:AIB, forms: 10-K
symbol:AMEH, forms: 10-K
symbol:AMTG, forms: 10-K
symbol:ASOE, forms: 10-K
symbol:APLL, forms: 10-K
symbol:APHD, forms: 10-K
symbol:AGPL, forms: 10-K
symbol:AAPL, forms: 10-K
symbol:ARCI, forms: 10-K
symbol:APDN, forms: 10-K
symbol:AERG, forms: 10-K
symbol:AGTC, forms: 10-K
symbol:AIT, forms: 10-K
symbol:AMAT, forms: 10-K
symbol:AMCC, forms: 10-K
symbol:AMNL, forms: 10-K
symbol:AAOI, forms: 10-K
symbol:ATHYQ, forms: 10-K
symbol:APVS, forms: 10-K
symbol:AREX, forms: 10-K
symbol:APPGE, forms: 10-K
symbol:APYP, forms: 10-K
symbol:APRI, forms: 10-K
symbol:ATR, forms: 10-K
symbol:MTVX, forms: 10-K
symbol:APTY, forms: 10-K
symbol:WTR, forms: 10-K
symbol:APSI, forms: 10-K
symbol:AQNM, forms: 10-K
symbol:AQXP, forms: 10-K
symbol:AQIS, forms: 10-K
symbol:AXLWF, forms: 10-K
symbol:ARDM, forms: 10-K
symbol:ARMK, forms: 10-K
symbol:PETX, forms: 10-K
symbol:ARAT, forms: 10-K
symbol:ARBI, forms: 10-K
symbol:ARBE, forms: 10-K
symbol:ABR, forms: 10-K
symbol:ABIO, forms: 10-K
symbol:AUMA, forms: 10-K
symbol:ARCB, forms: 10-K
symbol:ARC, forms: 10-K
symbol:ARCK, forms: 10-K
symbol:ARCW, forms: 10-K
symbol:ACGL, forms: 10-K
symbol:ACI, forms: 10-K
symbol:ADM, forms: 10-K
symbol:ARHN, forms: 10-K
symbol:ARTH, forms: 10-K
symbol:ARCS, forms: 10-K
symbol:ARCX, forms: 10-K
symbol:ACAT, forms: 10-K
symbol:ARDX, forms: 10-K
symbol:ARNA, forms: 10-K
symbol:ARU, forms: 10-K
symbol:ACRE, forms: 10-K
symbol:ARES, forms: 10-K
symbol:ARET, forms: 10-K
symbol:AGX, forms: 10-K
symbol:AGII, forms: 10-K
symbol:ARGS, forms: 10-K
symbol:ARGL, forms: 10-K
symbol:ARIA, forms: 10-K
symbol:ARAH, forms: 10-K
symbol:ARIS, forms: 10-K
symbol:ANET, forms: 10-K
symbol:ASPW, forms: 10-K
symbol:ASCCD, forms: 10-K
symbol:AKDS, forms: 10-K
symbol:AKVA, forms: 10-K
symbol:ARKR, forms: 10-K
symbol:AI, forms: 10-K
symbol:AHH, forms: 10-K
symbol:AOIL, forms: 10-K
symbol:AMCO, forms: 10-K
symbol:ARR, forms: 10-K
symbol:AWI, forms: 10-K
symbol:ARNI, forms: 10-K
symbol:ARTX, forms: 10-K
symbol:ARQL, forms: 10-K
symbol:ARRY, forms: 10-K
symbol:ARYC, forms: 10-K
symbol:HRT, forms: 10-K
symbol:ARRI, forms: 10-K
symbol:ARRS, forms: 10-K
symbol:ARW, forms: 10-K
symbol:AROW, forms: 10-K
symbol:ARWR, forms: 10-K
symbol:ARWD, forms: 10-K
symbol:ACTL, forms: 10-K
symbol:ARTNA, forms: 10-K
symbol:ARXQ, forms: 10-K
symbol:ALIF, forms: 10-K
symbol:AHFP, forms: 10-K
symbol:APAM, forms: 10-K
symbol:ARTD, forms: 10-K
symbol:ARTW, forms: 10-K
symbol:AVTD, forms: 10-K
symbol:ARUN, forms: 10-K
symbol:AVNI, forms: 10-K
symbol:DUCP, forms: 10-K
symbol:ARYX, forms: 10-K
symbol:ASAL, forms: 10-K
symbol:ASAE, forms: 10-K
symbol:ASBB, forms: 10-K
symbol:ABG, forms: 10-K
symbol:ASNA, forms: 10-K
symbol:ASCBQ, forms: 10-K
symbol:ASCMA, forms: 10-K
symbol:ASTI, forms: 10-K
symbol:AHP, forms: 10-K
symbol:AHT, forms: 10-K
symbol:AINC, forms: 10-K
symbol:ASH, forms: 10-K
symbol:ACRB, forms: 10-K
symbol:PADR, forms: 10-K
symbol:ASPZ, forms: 10-K
symbol:ATYM, forms: 10-K
symbol:ATSR, forms: 10-K
symbol:IPTK, forms: 10-K
symbol:ASYP, forms: 10-K
symbol:RENS, forms: 10-K
symbol:ASPN, forms: 10-K
symbol:ASPU, forms: 10-K
symbol:AHL, forms: 10-K
symbol:AZPN, forms: 10-K
symbol:APIT, forms: 10-K
symbol:ASJP, forms: 10-K
symbol:APYI, forms: 10-K
symbol:ASTV, forms: 10-K
symbol:ASMB, forms: 10-K
symbol:ASB, forms: 10-K
symbol:AEC, forms: 10-K
symbol:ASAM, forms: 10-K
symbol:AMNW, forms: 10-K
symbol:AIZ, forms: 10-K
symbol:AGO, forms: 10-K
symbol:APHYQ, forms: 10-K
symbol:ASFI, forms: 10-K
symbol:AHDT, forms: 10-K
symbol:ATEA, forms: 10-K
symbol:ASTE, forms: 10-K
symbol:AST, forms: 10-K
symbol:ASKH, forms: 10-K
symbol:AF, forms: 10-K
symbol:ALOT, forms: 10-K
symbol:ATRO, forms: 10-K
symbol:ASTC, forms: 10-K
symbol:ASUR, forms: 10-K
symbol:ATRA, forms: 10-K
symbol:ATCV, forms: 10-K
symbol:ATHN, forms: 10-K
symbol:AHNR, forms: 10-K
symbol:AFCB, forms: 10-K
symbol:AHROQ, forms: 10-K
symbol:ATHX, forms: 10-K
symbol:ALDA, forms: 10-K
symbol:AAME, forms: 10-K
symbol:ATBA, forms: 10-K
symbol:ACFC, forms: 10-K
symbol:AT, forms: 10-K
symbol:ATNI, forms: 10-K
symbol:ATLC, forms: 10-K
symbol:ATPL, forms: 10-K
symbol:ATNP, forms: 10-K
symbol:AAWW, forms: 10-K
symbol:AFH, forms: 10-K
symbol:ARP, forms: 10-K
symbol:ATML, forms: 10-K
symbol:ATO, forms: 10-K
symbol:ATOC, forms: 10-K
symbol:ATOS, forms: 10-K
symbol:APYV, forms: 10-K
symbol:ATPGQ, forms: 10-K
symbol:ATRC, forms: 10-K
symbol:ATRN, forms: 10-K
symbol:ATRI, forms: 10-K
symbol:ATRM, forms: 10-K
symbol:T, forms: 10-K
symbol:ATTD, forms: 10-K
symbol:AURT, forms: 10-K
symbol:ATVK, forms: 10-K
symbol:ATW, forms: 10-K
symbol:ABBB, forms: 10-K
symbol:AUBN, forms: 10-K
symbol:ADNC, forms: 10-K
symbol:AEYE, forms: 10-K
symbol:ARUZQ, forms: 10-K
symbol:ARAO, forms: 10-K
symbol:AUSI, forms: 10-K
symbol:AURZ, forms: 10-K
symbol:ARXG, forms: 10-K
symbol:AURM, forms: 10-K
symbol:ARMI, forms: 10-K
symbol:ASCK, forms: 10-K
symbol:ASPX, forms: 10-K
symbol:AOGC, forms: 10-K
symbol:ADAT, forms: 10-K
symbol:ABTL, forms: 10-K
symbol:ADSK, forms: 10-K
symbol:ALV, forms: 10-K
symbol:ADP, forms: 10-K
symbol:AN, forms: 10-K
symbol:AZO, forms: 10-K
symbol:AUTR, forms: 10-K
symbol:AUXO, forms: 10-K
symbol:AXLM, forms: 10-K
symbol:AVGO, forms: 10-K
symbol:AAVL, forms: 10-K
symbol:AVLP, forms: 10-K
symbol:AVB, forms: 10-K
symbol:CITY, forms: 10-K
symbol:AVLH, forms: 10-K
symbol:AWX, forms: 10-K
symbol:AOGN, forms: 10-K
symbol:AVGC, forms: 10-K
symbol:AAIR, forms: 10-K
symbol:AVDX, forms: 10-K
symbol:AVTS, forms: 10-K
symbol:ATAR, forms: 10-K
symbol:AVXT, forms: 10-K
symbol:AVRW, forms: 10-K
symbol:AVNE, forms: 10-K
symbol:AVNU, forms: 10-K
symbol:AVEO, forms: 10-K
symbol:AVY, forms: 10-K
symbol:AVHI, forms: 10-K
symbol:AVNW, forms: 10-K
symbol:RODN, forms: 10-K
symbol:AVID, forms: 10-K
symbol:AVGR, forms: 10-K
symbol:CAR, forms: 10-K
symbol:AVA, forms: 10-K
symbol:AVSR, forms: 10-K
symbol:AVT, forms: 10-K
symbol:AVP, forms: 10-K
symbol:AVRN, forms: 10-K
symbol:AVTH, forms: 10-K
symbol:AVTC, forms: 10-K
symbol:AVX, forms: 10-K
symbol:AWRE, forms: 10-K
symbol:AXTA, forms: 10-K
symbol:ACLS, forms: 10-K
symbol:AXST, forms: 10-K
symbol:AXLL, forms: 10-K
symbol:AXIM, forms: 10-K
symbol:AXMM, forms: 10-K
symbol:AXIO, forms: 10-K
symbol:AXIH, forms: 10-K
symbol:AXPW, forms: 10-K
symbol:AXS, forms: 10-K
symbol:AXTG, forms: 10-K
symbol:AXGN, forms: 10-K
symbol:AXTI, forms: 10-K
symbol:AYXE, forms: 10-K
symbol:AZRH, forms: 10-K
symbol:AZZ, forms: 10-K
symbol:BFMC, forms: 10-K
symbol:BWC, forms: 10-K
symbol:BABB, forms: 10-K
symbol:BONE, forms: 10-K
symbol:BTCA, forms: 10-K
symbol:BMI, forms: 10-K
symbol:BPMI, forms: 10-K
symbol:BHRG, forms: 10-K
symbol:BXRO, forms: 10-K
symbol:BHI, forms: 10-K
symbol:BKUH, forms: 10-K
symbol:BKKN, forms: 10-K
symbol:BCPC, forms: 10-K
symbol:BEEI, forms: 10-K
symbol:BWINA, forms: 10-K
symbol:BTN, forms: 10-K
symbol:BLL, forms: 10-K
symbol:BLDZ, forms: 10-K
symbol:BLYQ, forms: 10-K
symbol:BYI, forms: 10-K
symbol:BLLY, forms: 10-K
symbol:BLQN, forms: 10-K
symbol:BSVN, forms: 10-K
symbol:BLTA, forms: 10-K
symbol:BISA, forms: 10-K
symbol:BALT, forms: 10-K
symbol:BGLEI, forms: 10-K
symbol:BANF, forms: 10-K
symbol:BANC, forms: 10-K
symbol:TBBK, forms: 10-K
